HVH_010_0088_000001	慮歸我志亭。
HVH_010_0088_000002	九十五年，相随冷宦者十年，生子者四，皆男弟二信不育。
HVH_010_0088_000003	琢琦珠皆男，各有容儀。
HVH_010_0088_000004	珠之生也，吾已七十，老螃生珠，因以名之。
HVH_010_0088_000005	吾老致仕，令之别居于城南之故宅，方将為之經营基业。
HVH_010_0088_000006	其奈歲大饥，卒病遂至不救。
HVH_010_0088_000007	参桂亦無所施命也。
HVH_010_0088_000008	予见其子，而轉思其母之不在怛焉。
HVH_010_0088_000009	傷心病中，吾来省，則肺已坏，言語已失分明，止言不知如何甚覺。
HVH_010_0088_000010	+三男平日常言妾家多不爵與公得三男死，亦無懼困倦，以手拱揖之者数四。
HVH_010_0088_000011	悲乎哉！
HVH_010_0088_000012	辰年繞三十六歲矣。
HVH_010_0088_000013	所遗88之氣與天地而長存，有子死而不死矣。
HVH_010_0088_000014	盖其浩然相传。
